orden,path,dominio,intencion,estado,action_items,referencia_contenido
1,.codex/prompts/bmad-agent-bmad-master.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
2,.codex/prompts/bmad-agent-bmb-agent-builder.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
3,.codex/prompts/bmad-agent-bmb-module-builder.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
4,.codex/prompts/bmad-agent-bmb-workflow-builder.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
5,.codex/prompts/bmad-agent-bmm-analyst.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
6,.codex/prompts/bmad-agent-bmm-architect.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
7,.codex/prompts/bmad-agent-bmm-dev.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
8,.codex/prompts/bmad-agent-bmm-pm.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
9,.codex/prompts/bmad-agent-bmm-qa.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
10,.codex/prompts/bmad-agent-bmm-quick-flow-solo-dev.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
11,.codex/prompts/bmad-agent-bmm-sm.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
12,.codex/prompts/bmad-agent-bmm-tech-writer.md,.codex,Prompt operativo/documental,resuelto,Sin accion inmediata; mantener bajo control de cambios y pruebas smoke.,---
