orden,prompt,path_prompt,proceso_actual_existe,estado,evidencia_paths,action_items
00a,00a-Crear_estructura_base_con_versionado.md,docs/prompts/project-docs/00a-Crear_estructura_base_con_versionado.md,si,resuelto,VERSION; lib/version.sh; migrations/0.0.0_to_0.1.0.sh,Mantener semver + lockfile y validar en CI.
00b,00b-Implementar_sistema_de_logging.md,docs/prompts/project-docs/00b-Implementar_sistema_de_logging.md,si,resuelto,lib/common.sh; scripts/bootstrap/lib.sh; Makefile,Estandarizar formato de logs en todos los scripts.
00c,00c-Crear_detección_de_plataforma.md,docs/prompts/project-docs/00c-Crear_detección_de_plataforma.md,si,resuelto,scripts/bootstrap/lib.sh; symlinks/conf.macos.yaml; symlinks/conf.linux.yaml,Agregar tests unitarios para detección de plataforma.
00d,00d-Setup_CI_CD_con_GitHub_Actions.md,docs/prompts/project-docs/00d-Setup_CI_CD_con_GitHub_Actions.md,si,resuelto,.github/workflows/secret-scan.yml; .pre-commit-config.yaml; scripts/security/scan-secrets.sh,Expandir CI a lint/test multiplataforma.
01,01-Análisis_profundo_del_estado_actual.md,docs/prompts/project-docs/01-Análisis_profundo_del_estado_actual.md,si,resuelto,docs/audit/plan-auditoria-dotfiles-2026-01-21.md; docs/deep-scan-audit-dotfiles.md,Actualizar auditoría al estado post-cleanup.
02,02-Evaluación_de_calidad_del_código.md,docs/prompts/project-docs/02-Evaluación_de_calidad_del_código.md,si,resuelto,docs/deep-scan-audit-dotfiles.md; scripts/tests/run.sh,Agregar métricas de calidad automáticas.
03,03-Detección_de_problemas_de_seguridad.md,docs/prompts/project-docs/03-Detección_de_problemas_de_seguridad.md,si,resuelto,docs/security/README.md; scripts/security/scan-secrets.sh; env/README.md,Agregar baseline de gitleaks para ruido controlado.
04,04-Análisis_de_estructura_y_organización.md,docs/prompts/project-docs/04-Análisis_de_estructura_y_organización.md,si,resuelto,docs/project-structure.md; DOTFILES_INDEX.md,Mantener inventario al mover carpetas.
05,05-Diseño_de_nueva_arquitectura_modular.md,docs/prompts/project-docs/05-Diseño_de_nueva_arquitectura_modular.md,si,resuelto,docs/decisions/system-structure.md; docs/architecture-patterns.md,Formalizar ADRs nuevos en `docs/decisions/`.
06,06-Crear_workflow_de_implementación.md,docs/prompts/project-docs/06-Crear_workflow_de_implementación.md,si,resuelto,docs/migrations/project_docs-extraction-report.md; docs/migrations/project_docs-pending-review.md,Cerrar checklist final de migración.
07,07-Estimar_esfuerzo_de_migración.md,docs/prompts/project-docs/07-Estimar_esfuerzo_de_migración.md,si,resuelto,docs/guides/roadmap.md; docs/audit/tasks-backlog-legacy.md,Actualizar estimaciones con estado real actual.
08,08-Crear_estructura_base_de_directorios.md,docs/prompts/project-docs/08-Crear_estructura_base_de_directorios.md,si,resuelto,docs/project-structure.md; DOTFILES_INDEX.md,Evitar nuevas carpetas fuera de canon sin ADR.
09,09-Implementar_sistema_de_bootstrap.md,docs/prompts/project-docs/09-Implementar_sistema_de_bootstrap.md,si,resuelto,scripts/bootstrap/install.sh; scripts/bootstrap/check-deps.sh; Makefile,Agregar casos de error y rollback testados.
10,10-Crear_instalador_modular.md,docs/prompts/project-docs/10-Crear_instalador_modular.md,si,resuelto,scripts/bootstrap/install.sh; Makefile,Completar `make list/status` (hoy referencian rutas/comandos faltantes).
11,11-Refactorizar_configuración_de_Zsh.md,docs/prompts/project-docs/11-Refactorizar_configuración_de_Zsh.md,parcial,pendiente_a_evaluar,shell/zsh/.zshrc; docs/guides/plan-shell-redistribucion-2026-01-27.md,Ejecutar refactor pendiente del plan de shell.
12,12-Organizar_exports__aliases_y_funciones.md,docs/prompts/project-docs/12-Organizar_exports__aliases_y_funciones.md,si,resuelto,shell/exports.sh; shell/aliases.sh; shell/functions.sh,Reducir lógica residual de entorno en `.zshrc`/`.bashrc`.
